Algoritmo,Dimensao,Tempo
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,1
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
QuickIn,10,0
Quick1,10,0
Quick2,10,0
Merge,10,0
Shell,10,0
Insertion,10,0
Selection,10,0
Bubble,10,0
Counting,10,0
Heap,10,0
Radix,10,0
